time,sourceIP,sourcePort,destIP,destPort,classification,priority,label
4/5/2012 18:06,172.23.5.110,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
4/5/2012 18:06,172.23.5.110,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
4/5/2012 18:07,172.23.1.107,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
4/5/2012 18:07,172.23.1.107,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
4/5/2012 18:07,172.23.1.106,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
4/5/2012 18:07,172.23.1.106,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
4/5/2012 18:07,172.23.1.112,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
4/5/2012 18:07,172.23.1.112,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
4/5/2012 18:07,172.23.1.109,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
4/5/2012 18:07,172.23.1.109,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
4/5/2012 18:07,172.23.5.113,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
4/5/2012 18:07,172.23.5.113,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
4/5/2012 18:07,172.23.1.115,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
4/5/2012 18:07,172.23.1.115,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
4/5/2012 18:07,172.23.1.111,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
4/5/2012 18:07,172.23.1.111,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
4/5/2012 18:07,172.23.1.108,1026,172.23.0.10,53,Potential Corporate Privacy Violation,1,[1:2009702:4] ET POLICY DNS Update From External net 
